City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,hamilton,39.1834,-84.5333,20.47,94,100,5.14,US,1687190995
132,golkoy,40.6875,37.6178,16.67,97,98,0.96,TR,1687191132
133,wanparti,16.3667,78.0667,33.31,41,99,5.8,IN,1687191133
134,macherla,16.4833,79.4333,34.18,47,100,3.4,IN,1687191133
135,pisco,-13.7,-76.2167,20.03,73,75,3.09,PE,1687190703
136,wynyard,-41.0,145.7167,3.88,78,18,3.72,AU,1687191134
137,chuy,-33.6971,-53.4616,13.91,59,98,1.59,UY,1687190818
138,half moon bay,37.4636,-122.4286,17.71,69,75,13.38,US,1687191135
139,senno,59.5336,33.9167,20.7,46,88,3.25,RU,1687191136
140,bredasdorp,-34.5322,20.0403,10.26,75,66,10.03,ZA,1687190954
141,mar del plata,-38.0023,-57.5575,11.08,72,0,1.54,AR,1687190947
142,esna,25.2934,32.554,37.27,12,0,8.12,EG,1687191138
143,tromso,69.6496,18.957,21.01,49,0,3.09,NO,1687191138
144,pevek,69.7008,170.3133,3.16,78,97,1.44,RU,1687191062
145,camacha,33.0833,-16.3333,21.68,68,75,5.14,PT,1687191139
146,pringsewu,-5.3582,104.9744,23.69,94,98,2.2,ID,1687191140
147,berlevag,70.8578,29.0864,12.89,81,32,10.8,NO,1687191140
148,wilmington,34.2257,-77.9447,31.06,61,0,5.66,US,1687190986
149,talnakh,69.4865,88.3972,1.98,100,100,3.6,RU,1687190946
150,kapaa,22.0752,-159.319,23.18,88,75,6.69,US,1687190950
151,walvis bay,-22.9575,14.5053,15.05,67,27,8.44,NA,1687190929
152,qaanaaq,77.484,-69.3632,1.81,85,100,4.46,GL,1687190946
153,esil,51.9556,66.4042,8.89,80,100,9.62,KZ,1687191143
154,yorkton,51.2167,-102.4677,19.91,64,0,3.6,CA,1687191143
155,necochea,-38.5473,-58.7368,10.42,67,100,1.57,AR,1687191144
156,severo-kurilsk,50.6789,156.125,6.25,96,100,10.37,RU,1687190955
157,olafsvik,64.8945,-23.7142,8.18,79,100,2.35,IS,1687191144
158,yumen,40.2833,97.2,24.95,13,56,5.01,CN,1687191145
