City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,humboldt,40.6665,-123.9178,8.96,85,73,1.06,US,1686711132
138,astana,51.1801,71.446,13.97,51,0,6.0,KZ,1686711133
139,khatanga,71.9667,102.5,14.86,52,100,3.61,RU,1686710543
140,ovalle,-30.5983,-71.2003,11.54,59,1,0.7,CL,1686710665
141,geraldton,-28.7667,114.6,17.23,67,36,5.66,AU,1686711134
142,yuancheng,36.652,107.7896,26.26,24,0,5.46,CN,1686711135
143,xining,36.6167,101.7667,19.45,35,100,1.76,CN,1686711135
144,portales,34.1862,-103.3344,24.96,21,0,4.61,US,1686711136
145,khartoum,15.5518,32.5324,30.59,51,60,6.98,SD,1686711136
146,hithadhoo,-0.6,73.0833,28.61,75,21,3.22,MV,1686711136
147,nkhotakota,-12.9274,34.2961,18.95,75,8,1.63,MW,1686711137
148,juba,4.8517,31.5825,20.62,91,82,1.51,SS,1686711137
149,puerto madryn,-42.7692,-65.0385,9.26,26,100,3.74,AR,1686710899
150,vanavara,60.34,102.2797,14.19,42,100,4.29,RU,1686711138
151,ketchikan,55.3422,-131.6461,13.99,64,30,5.16,US,1686711138
152,tuy hoa,13.0833,109.3,31.25,60,98,3.31,VN,1686711139
153,ust-kulom,61.6864,53.6902,16.75,59,1,4.56,RU,1686711095
154,nome,64.5011,-165.4064,5.04,93,100,8.23,US,1686710573
155,clyde river,70.4692,-68.5914,0.13,86,100,10.8,CA,1686711141
156,rudnya,54.947,31.0934,12.49,75,96,2.98,RU,1686711141
157,cherskiy,68.75,161.3,7.51,54,100,6.06,RU,1686710666
158,pangkalanbuun,-2.6833,111.6167,28.8,82,66,1.56,ID,1686710662
159,kavaratti,10.5669,72.642,29.11,76,100,8.28,IN,1686710687
160,mirnyy,62.5353,113.9611,19.02,24,29,7.15,RU,1686711053
161,bolobo,-2.1667,16.2333,21.81,92,68,0.95,CD,1686711143
162,mitsamiouli,-11.3847,43.2844,24.06,67,0,1.91,KM,1686711144
163,sibolga,1.7427,98.7792,30.11,57,99,1.09,ID,1686711144
164,shubarshi,48.5872,57.1869,20.67,42,42,7.32,KZ,1686711145
165,ilulissat,69.2167,-51.1,1.01,86,75,0.0,GL,1686710588
166,san cristobal,7.7669,-72.225,26.1,96,87,1.86,VE,1686711145
167,chisindia,46.2833,22.1,10.22,94,0,1.2,RO,1686711146
168,savannah bight,16.45,-85.85,28.99,84,0,12.48,HN,1686711146
169,akyab,20.15,92.9,26.29,88,100,5.79,MM,1686711147
170,roma,43.2128,-75.4557,16.08,81,20,0.0,US,1686711001
171,batagay-alyta,67.8006,130.4114,14.21,32,100,6.13,RU,1686710604
172,isangel,-19.55,169.2667,26.06,65,100,2.06,VU,1686710551
173,fairbanks,64.8378,-147.7164,18.0,40,75,6.17,US,1686710728
174,sam roi yot,12.2708,99.872,28.99,70,100,4.67,TH,1686711149
175,ambilobe,-13.2,49.05,19.35,94,0,1.35,MG,1686711149
176,mount isa,-20.7333,139.5,22.87,23,0,5.14,AU,1686710607
177,katsuura,35.1333,140.3,21.27,94,100,4.77,JP,1686710907
178,qasigiannguit,68.8193,-51.1922,1.14,92,81,1.98,GL,1686711151
179,roald,62.5833,6.1333,13.2,100,13,3.09,NO,1686711151
180,victoria,22.2855,114.1577,29.55,89,100,0.89,HK,1686710860
181,lebu,-37.6167,-73.65,9.66,77,98,5.25,CL,1686711152
182,constitucion,-35.3333,-72.4167,8.93,56,95,2.51,CL,1686710564
183,high level,58.5169,-117.136,20.06,52,100,1.54,CA,1686711153
184,camacha,33.0833,-16.3333,17.68,77,40,2.06,PT,1686711153
185,machakos,-1.5167,37.2667,12.58,96,39,0.74,KE,1686711154
186,bandarbeyla,9.4942,50.8122,26.19,74,100,10.32,SO,1686710564
187,honiara,-9.4333,159.95,29.59,77,51,1.85,SB,1686710717
188,lata,40.1629,-8.3327,14.95,95,91,1.18,PT,1686710592
189,diu,20.7141,70.9822,28.92,82,100,10.43,IN,1686711155
